year,suburb,res_type,seat_indoor,seat_outdoor,all_seat
2007,Parkville,"Pubs, Taverns and Bars",298.0,0.0,298.0
2007,Parkville,Takeaway Food Services,35.0,44.0,79.0
2007,Port Melbourne,Cafes and Restaurants,328.0,136.0,464.0
2007,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2007,South Yarra,Cafes and Restaurants,566.0,96.0,662.0
2007,Southbank,Cafes and Restaurants,6160.0,2127.0,8287.0
2007,Southbank,"Pubs, Taverns and Bars",442.0,98.0,540.0
2007,Southbank,Takeaway Food Services,81.0,63.0,144.0
2007,West Melbourne,Cafes and Restaurants,1222.0,234.0,1456.0
2007,West Melbourne,"Pubs, Taverns and Bars",1217.0,60.0,1277.0
2007,West Melbourne,Takeaway Food Services,94.0,27.0,121.0
2008,Carlton,Cafes and Restaurants,10059.0,2894.0,12953.0
2008,Carlton,"Pubs, Taverns and Bars",1100.0,149.0,1249.0
2008,Carlton,Takeaway Food Services,256.0,186.0,442.0
2008,Docklands,Cafes and Restaurants,9232.0,2228.0,11460.0
2008,Docklands,"Pubs, Taverns and Bars",150.0,61.0,211.0
2008,Docklands,Takeaway Food Services,132.0,40.0,172.0
2008,East Melbourne,Cafes and Restaurants,5238.0,625.0,5863.0
2008,East Melbourne,Takeaway Food Services,62.0,36.0,98.0
2008,Kensington,Cafes and Restaurants,365.0,163.0,528.0
2008,Kensington,"Pubs, Taverns and Bars",290.0,62.0,352.0
2008,Kensington,Takeaway Food Services,121.0,2.0,123.0
2008,Melbourne (CBD),Cafes and Restaurants,47269.0,9676.0,56945.0
2008,Melbourne (CBD),"Pubs, Taverns and Bars",8541.0,817.0,9358.0
2008,Melbourne (CBD),Takeaway Food Services,2172.0,821.0,2993.0
2008,Melbourne (Remainder),Cafes and Restaurants,6813.0,1405.0,8218.0
2008,Melbourne (Remainder),Takeaway Food Services,23.0,43.0,66.0
2008,North Melbourne,Cafes and Restaurants,1812.0,385.0,2197.0
2008,North Melbourne,"Pubs, Taverns and Bars",1407.0,168.0,1575.0
2008,North Melbourne,Takeaway Food Services,211.0,106.0,317.0
2008,Parkville,Cafes and Restaurants,1090.0,583.0,1673.0
2008,Parkville,"Pubs, Taverns and Bars",298.0,0.0,298.0
